category,date,sales_millions
Clothing and clothing accessories stores,2019-12-01,34163
Furniture and home furnishings stores,2019-12-01,9978
Electronics and appliance stores,2019-12-01,7442
Clothing and clothing accessories stores,2019-12-01,22475
Furniture and home furnishings stores,2020-01-01,9225
Electronics and appliance stores,2020-01-01,6878
Clothing and clothing accessories stores,2020-01-01,16314
Furniture and home furnishings stores,2020-01-01,10193
Electronics and appliance stores,2020-01-01,7309
Clothing and clothing accessories stores,2020-01-01,22198
Furniture and home furnishings stores,2020-02-01,9193
Electronics and appliance stores,2020-02-01,6472
Clothing and clothing accessories stores,2020-02-01,18587
Furniture and home furnishings stores,2020-02-01,10025
Electronics and appliance stores,2020-02-01,7215
Clothing and clothing accessories stores,2020-02-01,22039
Furniture and home furnishings stores,2020-03-01,7897
Electronics and appliance stores,2020-03-01,5596
Clothing and clothing accessories stores,2020-03-01,10614
Furniture and home furnishings stores,2020-03-01,7819
Electronics and appliance stores,2020-03-01,5915
Clothing and clothing accessories stores,2020-03-01,11074
Furniture and home furnishings stores,2020-04-01,3780
Electronics and appliance stores,2020-04-01,2895
Clothing and clothing accessories stores,2020-04-01,2631
Furniture and home furnishings stores,2020-04-01,3885
Electronics and appliance stores,2020-04-01,3297
Clothing and clothing accessories stores,2020-04-01,2733
Furniture and home furnishings stores,2020-05-01,7072
Electronics and appliance stores,2020-05-01,3772
Clothing and clothing accessories stores,2020-05-01,8403
Furniture and home furnishings stores,2020-05-01,7023
Electronics and appliance stores,2020-05-01,4065
Clothing and clothing accessories stores,2020-05-01,8051
Furniture and home furnishings stores,2020-06-01,9581
Electronics and appliance stores,2020-06-01,5387
Clothing and clothing accessories stores,2020-06-01,15756
Furniture and home furnishings stores,2020-06-01,9717
Electronics and appliance stores,2020-06-01,5731
Clothing and clothing accessories stores,2020-06-01,16725
Furniture and home furnishings stores,2020-07-01,10172
Electronics and appliance stores,2020-07-01,6248
Clothing and clothing accessories stores,2020-07-01,17056
Furniture and home furnishings stores,2020-07-01,10012
Electronics and appliance stores,2020-07-01,6529
Clothing and clothing accessories stores,2020-07-01,17379
Furniture and home furnishings stores,2020-08-01,10692
Electronics and appliance stores,2020-08-01,6524
Clothing and clothing accessories stores,2020-08-01,18045
Furniture and home furnishings stores,2020-08-01,10493
Electronics and appliance stores,2020-08-01,6644
Clothing and clothing accessories stores,2020-08-01,17692
Furniture and home furnishings stores,2020-09-01,10671
Electronics and appliance stores,2020-09-01,6161
Clothing and clothing accessories stores,2020-09-01,17845
Furniture and home furnishings stores,2020-09-01,10576
Electronics and appliance stores,2020-09-01,6451
Clothing and clothing accessories stores,2020-09-01,20047
Furniture and home furnishings stores,2020-10-01,10645
Electronics and appliance stores,2020-10-01,6547
Clothing and clothing accessories stores,2020-10-01,19047
Furniture and home furnishings stores,2020-10-01,10457
Electronics and appliance stores,2020-10-01,6870
Clothing and clothing accessories stores,2020-10-01,19565
Furniture and home furnishings stores,2020-11-01,10697
Electronics and appliance stores,2020-11-01,7918
Clothing and clothing accessories stores,2020-11-01,20197
Furniture and home furnishings stores,2020-11-01,10188
Electronics and appliance stores,2020-11-01,6598
Clothing and clothing accessories stores,2020-11-01,18596
Furniture and home furnishings stores,2020-12-01,11493
Electronics and appliance stores,2020-12-01,9055
Clothing and clothing accessories stores,2020-12-01,30425
