category,lag_months,n,correlation,pvalue,significant,ci_lower,ci_upper,ci_excludes_zero
running_shoes,0,144,-0.075983270582291,0.36537959879534904,False,-0.23662112336100255,0.08869805828082111,False
running_shoes,1,143,-0.037773661338067775,0.6542233889457316,False,-0.20068085278526945,0.1271663811282441,False
running_shoes,2,142,0.028296325849784087,0.7381710877775194,False,-0.13707285299517444,0.19213099970289502,False
running_shoes,3,141,-0.008588781754010212,0.9194868343402036,False,-0.1736573362309624,0.15694918621560863,False
running_shoes,4,140,0.025020853362523833,0.7691839859165162,False,-0.14147268927858453,0.19013784204579093,False
running_shoes,5,139,0.12877498874528315,0.13083367227160275,False,-0.038555510408148606,0.2890804723638718,False
running_shoes,6,138,0.151730519092939,0.07564762835835624,False,-0.01577737192852891,0.310954017831064,False
running_shoes,7,137,0.2996362713357905,0.00037496150503629744,True,0.13889801708162255,0.44499191468406774,True
running_shoes,8,136,0.3286929987348375,9.347618319396455e-05,True,0.1697494621952503,0.47096976381823574,True
running_shoes,9,135,0.32381224226178607,0.0001275606780691606,True,0.16381457360440857,0.46721069127827375,True
running_shoes,10,134,0.35063737380026905,3.2735626514546654e-05,True,0.1924925006525529,0.4910297012491719,True
running_shoes,11,133,0.27840689770870897,0.0011751698239019057,True,0.11355895818480309,0.4283365312370692,True
running_shoes,12,132,0.28467035078720926,0.0009388804858971048,True,0.11961319869410028,0.43441455914940996,True
apparel,0,144,0.22806649280409697,0.005972721462172656,True,0.06698667767321258,0.37755979965622366,True
apparel,1,143,0.26822746760734995,0.0011997186635629923,True,0.1088694500426018,0.4141442508703426,True
apparel,2,142,0.34422367843622803,2.733983562231586e-05,True,0.19028326387640743,0.48164282543763814,True
apparel,3,141,0.2906807351763685,0.00047099025109457776,True,0.13169402679009265,0.4350881654600489,True
apparel,4,140,0.282898880047461,0.0007072539946290623,True,0.12275403047590644,0.42868495386663347,True
apparel,5,139,0.2756773804390845,0.001020808869441275,True,0.11442587039564288,0.42277524287988416,True
apparel,6,138,0.22718782529018594,0.007368560812379693,True,0.0624509160775999,0.37987381568727735,True
apparel,7,137,0.289269928705248,0.0006071660921482386,True,0.1277492918487821,0.43584310995402464,True
apparel,8,136,0.2732141318508829,0.0012897747572339624,True,0.10993428578824267,0.42213530623920936,True
apparel,9,135,0.1921717767352634,0.02555380650894427,True,0.02399054516317322,0.34977498943657126,True
apparel,10,134,0.1850210623642844,0.03233679119429025,True,0.01592943636227154,0.3438240148890104,True
apparel,11,133,0.014227502294231267,0.8708814414204011,False,-0.15638110240423395,0.18401169412367796,False
apparel,12,132,-0.020121469652062386,0.8188669847392709,False,-0.19034254140432938,0.15127417143157634,False
furniture,0,144,-0.07102339653245769,0.3975964198950493,False,-0.23190798418576503,0.09364342377685737,False
furniture,1,143,-0.005385691869380399,0.9490986446517888,False,-0.16938747559158523,0.15890632641720823,False
furniture,2,142,0.05045318980949021,0.5509847778311306,False,-0.11523479226127817,0.21340975238459214,False
furniture,3,141,0.05578631094696557,0.511154544235724,False,-0.11054832396825594,0.2190809984905819,False
furniture,4,140,0.07958441273688643,0.3499446264195961,False,-0.08747686574539756,0.24229157601909024,False
furniture,5,139,0.12919765054735705,0.12956405402591006,False,-0.03812632944397936,0.2894743178208754,False
furniture,6,138,0.18273976821187038,0.031930604414970844,True,0.016124310238053333,0.3394808080420199,True
furniture,7,137,0.2315175729727703,0.006486834244635285,True,0.06637644436720656,0.3843132832046014,True
