category,date,sales_millions
Clothing and clothing accessories stores,2021-11-01,27451
Electronics and appliance stores,2021-12-01,10268
Clothing and clothing accessories stores,2021-12-01,37490
Furniture and home furnishings stores,2021-12-01,12340
Furniture and home furnishings stores,2022-01-01,10107
Electronics and appliance stores,2022-01-01,6812
Clothing and clothing accessories stores,2022-01-01,17137
Furniture and home furnishings stores,2022-02-01,10422
Electronics and appliance stores,2022-02-01,6556
Clothing and clothing accessories stores,2022-02-01,19345
Clothing and clothing accessories stores,2022-03-01,24310
Electronics and appliance stores,2022-03-01,7785
Furniture and home furnishings stores,2022-03-01,12363
Furniture and home furnishings stores,2022-04-01,11967
Electronics and appliance stores,2022-04-01,7360
Clothing and clothing accessories stores,2022-04-01,24428
Furniture and home furnishings stores,2022-05-01,11977
Electronics and appliance stores,2022-05-01,7369
Clothing and clothing accessories stores,2022-05-01,25313
Clothing and clothing accessories stores,2022-06-01,23552
Electronics and appliance stores,2022-06-01,7271
Furniture and home furnishings stores,2022-06-01,11654
Furniture and home furnishings stores,2022-07-01,11503
Electronics and appliance stores,2022-07-01,7413
Clothing and clothing accessories stores,2022-07-01,23733
Furniture and home furnishings stores,2022-08-01,12294
Electronics and appliance stores,2022-08-01,7725
Clothing and clothing accessories stores,2022-08-01,24772
Clothing and clothing accessories stores,2022-09-01,22359
Electronics and appliance stores,2022-09-01,7498
Furniture and home furnishings stores,2022-09-01,11852
Furniture and home furnishings stores,2022-10-01,11770
Electronics and appliance stores,2022-10-01,7242
Clothing and clothing accessories stores,2022-10-01,23409
Furniture and home furnishings stores,2022-11-01,12368
Electronics and appliance stores,2022-11-01,8326
Clothing and clothing accessories stores,2022-11-01,27000
Clothing and clothing accessories stores,2022-12-01,37932
Electronics and appliance stores,2022-12-01,9694
Furniture and home furnishings stores,2022-12-01,12227
Furniture and home furnishings stores,2023-01-01,11121
Electronics and appliance stores,2023-01-01,7396
Clothing and clothing accessories stores,2023-01-01,18427
Furniture and home furnishings stores,2023-02-01,10678
Electronics and appliance stores,2023-02-01,6732
Clothing and clothing accessories stores,2023-02-01,19902
Clothing and clothing accessories stores,2023-03-01,23641
Electronics and appliance stores,2023-03-01,7368
Furniture and home furnishings stores,2023-03-01,12098
Furniture and home furnishings stores,2023-04-01,10868
Electronics and appliance stores,2023-04-01,6569
Clothing and clothing accessories stores,2023-04-01,23422
Furniture and home furnishings stores,2023-05-01,11541
Electronics and appliance stores,2023-05-01,7145
Clothing and clothing accessories stores,2023-05-01,25160
Clothing and clothing accessories stores,2023-06-01,23528
Electronics and appliance stores,2023-06-01,7222
Furniture and home furnishings stores,2023-06-01,11338
Furniture and home furnishings stores,2023-07-01,10970
Electronics and appliance stores,2023-07-01,7072
Clothing and clothing accessories stores,2023-07-01,24075
Furniture and home furnishings stores,2023-08-01,11726
Electronics and appliance stores,2023-08-01,7541
Clothing and clothing accessories stores,2023-08-01,25772
Clothing and clothing accessories stores,2023-09-01,22573
Electronics and appliance stores,2023-09-01,7393
Furniture and home furnishings stores,2023-09-01,11092
Furniture and home furnishings stores,2023-10-01,10707
Electronics and appliance stores,2023-10-01,7301
Clothing and clothing accessories stores,2023-10-01,23143
Furniture and home furnishings stores,2023-11-01,11958
Electronics and appliance stores,2023-11-01,8625
Clothing and clothing accessories stores,2023-11-01,27490
Clothing and clothing accessories stores,2023-12-01,39318
Furniture and home furnishings stores,2023-12-01,11490
Electronics and appliance stores,2023-12-01,9826
Furniture and home furnishings stores,2024-01-01,9745
Electronics and appliance stores,2024-01-01,7267
Clothing and clothing accessories stores,2024-01-01,18472
Furniture and home furnishings stores,2024-02-01,10140
Electronics and appliance stores,2024-02-01,7132
Clothing and clothing accessories stores,2024-02-01,21169
Clothing and clothing accessories stores,2024-03-01,24109
Electronics and appliance stores,2024-03-01,7075
Furniture and home furnishings stores,2024-03-01,10801
Furniture and home furnishings stores,2024-04-01,10388
Electronics and appliance stores,2024-04-01,6847
Clothing and clothing accessories stores,2024-04-01,23150
Furniture and home furnishings stores,2024-05-01,11186
Electronics and appliance stores,2024-05-01,7504
Clothing and clothing accessories stores,2024-05-01,26511
Clothing and clothing accessories stores,2024-06-01,24285
Electronics and appliance stores,2024-06-01,7147
Furniture and home furnishings stores,2024-06-01,10597
Furniture and home furnishings stores,2024-07-01,11145
Electronics and appliance stores,2024-07-01,7490
Clothing and clothing accessories stores,2024-07-01,24575
Furniture and home furnishings stores,2024-08-01,11679
Electronics and appliance stores,2024-08-01,7512
Clothing and clothing accessories stores,2024-08-01,26262
Clothing and clothing accessories stores,2024-09-01,22259
Electronics and appliance stores,2024-09-01,6883
Furniture and home furnishings stores,2024-09-01,11038
Furniture and home furnishings stores,2024-10-01,11194
Electronics and appliance stores,2024-10-01,7224
Clothing and clothing accessories stores,2024-10-01,24359
Furniture and home furnishings stores,2024-11-01,12345
Electronics and appliance stores,2024-11-01,8772
Clothing and clothing accessories stores,2024-11-01,28716
Clothing and clothing accessories stores,2024-12-01,39876
Furniture and home furnishings stores,2024-12-01,12455
Electronics and appliance stores,2024-12-01,10330
Furniture and home furnishings stores,2025-01-01,10414
Electronics and appliance stores,2025-01-01,7050
Clothing and clothing accessories stores,2025-01-01,19461
Furniture and home furnishings stores,2025-02-01,10444
Electronics and appliance stores,2025-02-01,6630
Clothing and clothing accessories stores,2025-02-01,20653
Furniture and home furnishings stores,2025-03-01,11549
Electronics and appliance stores,2025-03-01,7199
Clothing and clothing accessories stores,2025-03-01,24941
Furniture and home furnishings stores,2025-04-01,11219
Electronics and appliance stores,2025-04-01,6820
Clothing and clothing accessories stores,2025-04-01,24739
Clothing and clothing accessories stores,2025-05-01,27920
Furniture and home furnishings stores,2025-05-01,11766
Electronics and appliance stores,2025-05-01,7437
Furniture and home furnishings stores,2025-06-01,11053
Electronics and appliance stores,2025-06-01,7147
Clothing and clothing accessories stores,2025-06-01,24976
Furniture and home furnishings stores,2025-07-01,11808
Electronics and appliance stores,2025-07-01,7647
Clothing and clothing accessories stores,2025-07-01,26670
Furniture and home furnishings stores,2025-08-01,11585
Electronics and appliance stores,2025-08-01,7626
Clothing and clothing accessories stores,2025-08-01,28215
Electronics and appliance stores,2025-09-01,7413
Furniture and home furnishings stores,2025-09-01,10888
Clothing and clothing accessories stores,2025-09-01,23868
Electronics and appliance stores,2025-10-01,7493
Furniture and home furnishings stores,2025-10-01,11230
Clothing and clothing accessories stores,2025-10-01,26124
Electronics and appliance stores,2025-11-01,8894
Furniture and home furnishings stores,2025-11-01,11855
Clothing and clothing accessories stores,2025-11-01,30762
Electronics and appliance stores,2025-12-01,10689
Furniture and home furnishings stores,2025-12-01,11764
Clothing and clothing accessories stores,2025-12-01,41920
